Species,Individual,DateTime,RelativePath,File,Date,Trap,Camera
Dingo,UOM2008,2022-03-20 15:38,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-03-20__15-38-19(1).JPG,2022-03-20,PS1,CamB
Dingo,UOM2008,2022-03-20 16:18,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-03-20__16-18-38(1).JPG,2022-03-20,PS1,CamB
Dingo,UOM2008,2022-03-27 17:29,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamA,PS1__CamA__2022-03-27__17-29-20(1).JPG,2022-03-27,PS1,CamA
Dingo,UOF1501,2022-03-27 17:29,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamA,PS1__CamA__2022-03-27__17-29-59(3).JPG,2022-03-27,PS1,CamA
Dingo,UOM2008,2022-04-02 17:43,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-04-02__17-43-22(1).JPG,2022-04-02,PS1,CamB
Dingo,UOF1501,2022-04-02 17:43,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-04-02__17-43-23(2).JPG,2022-04-02,PS1,CamB
Dingo,UOM2008,2022-04-10 15:27,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-04-10__15-27-20(1).JPG,2022-04-10,PS1,CamB
Dingo,UOF1501,2022-04-10 15:27,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamA,PS1__CamA__2022-04-10__15-27-42(8).JPG,2022-04-10,PS1,CamA
Dingo,UOF1709,2022-04-11 3:35,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-04-11__03-35-03(1).JPG,2022-04-11,PS1,CamB
Dingo,UOM2004,2022-04-11 3:35,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-04-11__03-35-15(10).JPG,2022-04-11,PS1,CamB
Dingo,UOF1501,2022-04-14 7:42,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-04-14__07-42-36(1).JPG,2022-04-14,PS1,CamB
Dingo,UOM2008,2022-04-14 7:42,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-04-14__07-42-49(5).JPG,2022-04-14,PS1,CamB
Dingo,UOM2008,2022-04-20 17:46,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2022-04-20__17-46-31(1).JPG,2022-04-20,PS1,CamB
